A_FT_01_sila;A_FT_01_pomik;;A_FT_02_sila;A_FT_02_pomik;;A_FT_03_sila;A_FT_03_pomik
0,868704;1,04;;1,573861;1,975;;0,167444;0
0,876379;1,05;;1,604391;2,02;;0,166448;0
0,887178;1,06;;1,630755;2,06;;0,173379;0
0,893015;1,075;;1,655862;2,1;;0,168962;0
0,9053;1,085;;1,684447;2,135;;0,179972;0
0,905683;1,095;;1,710826;2,175;;0,180938;0
0,918199;1,105;;1,725471;2,21;;0,18468;0
0,919378;1,11;;1,763247;2,25;;0,186949;0
0,927543;1,12;;1,781798;2,29;;0,192515;0
0,933563;1,13;;1,810551;2,32;;0,195475;0
0,944271;1,14;;1,825502;2,35;;0,200213;0
0,94925;1,145;;1,855665;2,38;;0,201133;0
0,953187;1,155;;1,869145;2,405;;0,208769;0
0,958181;1,165;;1,8886;2,43;;0,212418;0
0,958579;1,17;;1,902096;2,455;;0,21754;0
0,969808;1,18;;1,921918;2,48;;0,219916;0
0,978524;1,185;;1,935246;2,505;;0,225636;0
0,981955;1,195;;1,952939;2,525;;0,227691;0
0,984406;1,205;;1,964964;2,545;;0,236753;0
0,994057;1,21;;1,980298;2,565;;0,239375;0
0,999051;1,215;;1,992783;2,585;;0,247931;0
1,002391;1,225;;2,007611;2,605;;0,252884;0
1,000246;1,23;;2,019146;2,62;;0,255047;0
1,012179;1,24;;2,027909;2,635;;0,265121;0
1,017847;1,245;;2,033791;2,65;;0,273114;0
1,023147;1,25;;2,039995;2,665;;0,280251;0
1,019149;1,255;;2,053935;2,675;;0,279183;0
1,029842;1,26;;2,060982;2,69;;0,293426;0
1,030914;1,27;;2,06763;2,7;;0,293307;0
1,04248;1,28;;2,067906;2,71;;0,306725;0
1,044195;1,29;;2,080636;2,72;;0,310579;0
1,057967;1,3;;2,085952;2,73;;0,322281;0
1,069073;1,32;;2,090134;2,74;;0,324815;0
1,083687;1,34;;2,087866;2,745;;0,338652;0
1,095008;1,36;;2,093105;2,745;;0,341708;0
1,118354;1,39;;2,089046;2,765;;0,350077;0
1,132952;1,415;;2,090869;2,765;;0,353056;0
1,158596;1,445;;2,101117;2,775;;0,366079;0
1,179598;1,475;;2,100275;2,78;;0,363745;0
1,205624;1,51;;2,113433;2,795;;0,375908;0
1,227377;1,54;;2,125428;2,805;;0,377489;0
1,25083;1,575;;2,133225;2,82;;0,383479;0
1,273517;1,61;;2,148544;2,835;;0,385076;0
1,292313;1,64;;2,151072;2,85;;0,392386;0
1,316685;1,665;;2,162132;2,865;;0,392862;0
1,337105;1,695;;2,184972;2,885;;0,400325;0
1,362657;1,725;;2,201577;2,905;;0,402736;0
1,379952;1,755;;2,212362;2,925;;0,406529;0
1,407418;1,785;;2,236443;2,96;;0,408648;0,01
1,429355;1,825;;2,251379;2,98;;0,406667;0,01
1,458537;1,86;;2,270251;3,005;;0,41258;0,01
1,478451;1,895;;2,286214;3,035;;0,419275;0,015
1,509457;1,93;;2,313205;3,065;;0,41989;0,015
1,525603;1,955;;2,333043;3,095;;0,426401;0,015
1,551154;1,985;;2,354413;3,125;;0,426877;0,02
1,569659;2,01;;2,373255;3,155;;0,434018;0,025
1,588655;2,04;;2,395513;3,18;;0,44036;0,025
1,60549;2,06;;2,412808;3,21;;0,445428;0,03
1,616734;2,08;;2,432554;3,235;;0,451064;0,035
1,633048;2,1;;2,448301;3,26;;0,460186;0,045
1,645533;2,115;;2,464876;3,285;;0,475635;0,055
1,651676;2,125;;2,481849;3,305;;0,485571;0,065
1,653897;2,135;;2,488314;3,325;;0,502802;0,075
1,665953;2,15;;2,506896;3,34;;0,515609;0,085
1,676232;2,16;;2,510082;3,36;;0,533423;0,095
1,680399;2,165;;2,527469;3,375;;0,546615;0,11
1,681884;2,18;;2,528725;3,385;;0,569481;0,13
1,68288;2,18;;2,540321;3,395;;0,58923;0,15
1,688533;2,185;;2,54317;3,405;;0,61073;0,18
1,688686;2,19;;2,565919;3,435;;0,635209;0,205
1,693236;2,195;;2,582356;3,46;;0,655618;0,235
1,691014;2,195;;2,605211;3,49;;0,671252;0,265
1,695365;2,2;;2,620714;3,515;;0,692628;0,295
1,697632;2,205;;2,638101;3,54;;0,705974;0,35
