A_AF_01_sila;pomik;;A_AF_02_sila;pomik;;A_AF_03_sila;pomik
0,118816;0;;0,059999;0;;0,12671;0,06
0,113948;0;;0,068323;0;;0,135909;0,065
0,118909;0;;0,067448;0;;0,135433;0,065
0,122517;0;;0,072331;0;;0,140976;0,07
0,122072;0;;0,072669;0;;0,138826;0,07
0,123899;0;;0,077829;0;;0,146029;0,075
0,121949;0;;0,078197;0;;0,144923;0,09
0,121396;0;;0,081822;0;;0,147564;0,1
0,12585;0;;0,082405;0;;0,149622;0,105
0,127723;0;;0,085277;0;;0,14973;0,11
0,127478;0;;0,088978;0;;0,153078;0,115
0,133129;0;;0,090007;0;;0,155658;0,125
0,131624;0;;0,093232;0;;0,15575;0,13
0,129674;0;;0,089807;0;;0,149054;0,145
0,132392;0;;0,095182;0;;0,15747;0,155
0,1278;0;;0,10045;0;;0,154275;0,165
0,130165;0;;0,103244;0;;0,164918;0,17
0,124084;0;;0,108681;0;;0,160372;0,175
0,127984;0;;0,111737;0;;0,173548;0,18
0,126387;0;;0,109863;0;;0,178002;0,185
0,127094;0;;0,120429;0;;0,180659;0,19
0,123224;0;;0,121151;0;;0,182225;0,195
0,133528;0;;0,126817;0;;0,18436;0,2
0,131348;0;;0,129167;0;;0,19276;0,205
0,137951;0;;0,132284;0;;0,19706;0,21
0,149745;0;;0,131824;0;;0,200239;0,215
0,162845;0;;0,136047;0;;0,206689;0,22
0,16693;0,005;;0,136477;0;;0,20867;0,225
0,181903;0,01;;0,14199;0;;0,208839;0,23
0,188137;0,01;;0,143679;0;;0,215135;0,235
0,200638;0,015;;0,148578;0;;0,21644;0,24
0,205568;0,02;;0,150728;0;;0,222675;0,245
0,218636;0,03;;0,149177;0;;0,224564;0,25
0,223965;0,04;;0,161232;0;;0,234423;0,255
0,225885;0,045;;0,170262;0;;0,234746;0,265
0,23215;0,05;;0,176958;0;;0,236036;0,27
0,240443;0,055;;0,180981;0;;0,246018;0,275
0,239721;0,06;;0,195693;0;;0,252068;0,28
0,246064;0,065;;0,205859;0;;0,251055;0,285
0,24783;0,07;;0,215365;0;;0,252206;0,29
0,252698;0,08;;0,215442;0;;0,259885;0,295
0,252851;0,085;;0,230046;0;;0,258656;0,295
0,254617;0,095;;0,237986;0;;0,263217;0,3
0,256384;0,1;;0,244804;0;;0,263356;0,305
0,251208;0,105;;0,249458;0;;0,270942;0,315
0,258288;0,115;;0,260192;0;;0,269852;0,32
0,26076;0,125;;0,267072;0;;0,279757;0,325
0,269345;0,13;;0,27409;0;;0,27816;0,33
0,266442;0,14;;0,275104;0;;0,28828;0,335
0,274704;0,15;;0,290199;0;;0,29281;0,34
0,276255;0,16;;0,290645;0;;0,30032;0,345
0,286314;0,17;;0,298292;0;;0,301195;0,35
0,285946;0,18;;0,299598;0;;0,298385;0,355
0,299613;0,19;;0,29688;0;;0,304051;0,355
0,298784;0,195;;0,306125;0;;0,298891;0,36
0,311008;0,205;;0,312144;0;;0,308904;0,365
0,312482;0,215;;0,313004;0;;0,304389;0,365
0,321804;0,22;;0,319378;0;;0,310839;0,37
0,328376;0,23;;0,320391;0;;0,310409;0,375
0,336696;0,24;;0,326764;0;;0,321067;0,38
0,343031;0,255;;0,328976;0,005;;0,319192;0,39
0,344664;0,265;;0,330173;0,015;;0,330463;0,395
0,359383;0,275;;0,334397;0,02;;0,330228;0,4
0,365635;0,28;;0,329958;0,025;;0,338212;0,41
0,374138;0,29;;0,341768;0,035;;0,341352;0,415
0,381046;0,3;;0,343703;0,04;;0,350997;0,42
0,385443;0,31;;0,351596;0,045;;0,349812;0,43
0,38892;0,315;;0,348079;0,05;;0,361675;0,435
0,398341;0,325;;0,360916;0,06;;0,365719;0,445
0,398188;0,335;;0,362188;0,065;;0,37344;0,45
0,412756;0,345;;0,370381;0,07;;0,374129;0,46
0,413063;0,355;;0,369258;0,075;;0,381467;0,465
0,42786;0,365;;0,380714;0,08;;0,387717;0,475
0,427294;0,375;;0,380785;0,09;;0,39363;0,48
0,441755;0,385;;0,390181;0,095;;0,394488;0,49
0,445063;0,395;;0,389827;0,1;;0,401396;0,495
0,45597;0,405;;0,401149;0,11;;0,407172;0,5
0,460489;0,415;;0,404259;0,115;;0,407968;0,505
0,471871;0,425;;0,410815;0,125;;0,414846;0,515
0,475027;0,435;;0,412868;0,13;;0,4167;0,52
0,479607;0,445;;0,419455;0,14;;0,424727;0,53
0,492046;0,46;;0,42327;0,145;;0,424712;0,535
0,50041;0,47;;0,427084;0,15;;0,436921;0,545
0,505741;0,48;;0,433548;0,16;;0,43326;0,55
0,510766;0,49;;0,440365;0,165;;0,440567;0,555
0,52371;0,505;;0,442587;0,17;;0,44602;0,56
0,527325;0,52;;0,446462;0,175;;0,455211;0,57
0,544773;0,53;;0,449051;0,18;;0,456483;0,575
0,556737;0,545;;0,452988;0,18;;0,464923;0,58
0,564902;0,56;;0,452988;0,185;;0,470377;0,59
0,571612;0,58;;0,451579;0,195;;0,475738;0,595
0,589274;0,595;;0,46293;0,2;;0,479982;0,605
0,599584;0,61;;0,465182;0,205;;0,486094;0,61
0,611823;0,625;;0,471784;0,21;;0,492405;0,62
0,614382;0,64;;0,476701;0,215;;0,488729;0,625
0,632565;0,655;;0,482186;0,225;;0,498579;0,635
0,637972;0,67;;0,482369;0,23;;0,503756;0,64
0,656661;0,685;;0,493123;0,24;;0,508;0,645
0,664903;0,705;;0,490948;0,245;;0,507142;0,655
0,67872;0,72;;0,503463;0,255;;0,520592;0,66
0,685415;0,735;;0,5038;0,265;;0,517834;0,665
0,699692;0,745;;0,516515;0,27;;0,526367;0,67
0,707198;0,765;;0,516408;0,28;;0,528971;0,68
0,713999;0,78;;0,528755;0,29;;0,53516;0,685
0,730452;0,795;;0,534637;0,305;;0,533781;0,69
0,738846;0,81;;0,548117;0,32;;0,542681;0,695
0,753736;0,825;;0,557171;0,335;;0,543095;0,7
0,76783;0,84;;0,568415;0,35;;0,544397;0,705
0,777802;0,855;;0,574956;0,365;;0,555718;0,715
0,781417;0,87;;0,589325;0,385;;0,553711;0,72
0,799356;0,885;;0,598991;0,4;;0,566732;0,73
0,801852;0,895;;0,611185;0,415;;0,568846;0,735
0,81325;0,9;;0,620606;0,43;;0,575831;0,745
0,815471;0,91;;0,632999;0,445;;0,578573;0,755
0,82454;0,915;;0,642052;0,46;;0,591334;0,765
0,826347;0,925;;0,646295;0,475;;0,594796;0,77
0,836136;0,935;;0,661997;0,49;;0,603037;0,78
0,839705;0,94;;0,674267;0,505;;0,604079;0,79
0,840624;0,95;;0,682616;0,515;;0,616748;0,8
0,850934;0,955;;0,692742;0,53;;0,61854;0,81
0,85726;0,965;;0,698379;0,54;;0,631254;0,82
0,862898;0,975;;0,705594;0,555;;0,638454;0,835
0,869592;0,985;;0,716287;0,565;;0,643724;0,85
0,879273;0,995;;0,717788;0,575;;0,657832;0,865
0,882735;1,01;;0,727577;0,58;;0,671298;0,875
0,893474;1,015;;0,733306;0,59;;0,678436;0,89
0,896752;1,025;;0,739786;0,6;;0,692575;0,905
0,90484;1,03;;0,744642;0,61;;0,702471;0,92
0,905622;1,04;;0,752087;0,615;;0,713194;0,935
0,916222;1,05;;0,756299;0,62;;0,721589;0,95
0,917371;1,055;;0,759072;0,625;;0,732527;0,965
0,912638;1,055;;0,762657;0,635;;0,741994;0,975
0,897687;1,055;;0,76929;0,64;;0,743464;0,99
0,894347;1,055;;0,771955;0,65;;0,761785;1,005
0,886504;1,055;;0,782295;0,66;;0,770915;1,02
0,883808;1,055;;0,790338;0,67;;0,783691;1,035
0,878829;1,055;;0,797231;0,68;;0,790248;1,055
0,878293;1,055;;0,802072;0,69;;0,808891;1,07
